"country","variable","year","forecast","lo80","hi80","lo95","hi95","train_end_used","actual","error","abs_error"
"Austria","Defence",2020,0.597892718360971,0.517795690518021,0.677989746203922,0.475394885217462,0.72039055150448,2019,0.6,0.00210728163902885,0.00210728163902885
"Austria","Defence",2021,0.599945177496031,0.497963221541223,0.701927133450838,0.443977235106266,0.755913119885796,2019,0.6,5.48225039692651e-05,5.48225039692651e-05
"Austria","Defence",2022,0.598672437555708,0.484002719759486,0.713342155351929,0.423300237918576,0.774044637192839,2019,0.6,0.00132756244429244,0.00132756244429244
"Austria","Defence",2023,0.599461669812771,0.470475453725545,0.728447885899997,0.402194275483904,0.796729064141638,2019,0.6,0.00053833018722893,0.00053833018722893
"Belgium","Defence",2020,0.73927292669887,0.68417002750354,0.794375825894198,0.655000314679008,0.823545538718731,2019,0.9,0.160727073301131,0.160727073301131
"Belgium","Defence",2021,0.721085306336093,0.665558788512992,0.776611824159194,0.636164825532848,0.806005787139338,2019,0.9,0.178914693663907,0.178914693663907
"Belgium","Defence",2022,0.702987184108929,0.646516144654124,0.759458223563735,0.61662218212485,0.789352186093008,2019,1,0.297012815891071,0.297012815891071
"Belgium","Defence",2023,0.684978119612525,0.626887905316984,0.743068333908065,0.596136803402911,0.773819435822138,2019,0.9,0.215021880387475,0.215021880387475
"Bulgaria","Defence",2020,1.16281451832047,0.811838131430178,1.51379090521075,0.626042455280901,1.69958658136003,2019,1.5,0.337185481679534,0.337185481679534
"Bulgaria","Defence",2021,1.16769618485748,0.784787589523491,1.55060478019148,0.582088023311113,1.75330434640386,2019,1.6,0.432303815142516,0.432303815142516
"Bulgaria","Defence",2022,1.17075492336976,0.695673076637347,1.64583677010217,0.444179938532056,1.89732990820746,2019,1.6,0.429245076630243,0.429245076630243
"Bulgaria","Defence",2023,1.17267145765482,0.575690961108724,1.76965195420093,0.259668575709943,2.08567433959971,2019,1.5,0.327328542345175,0.327328542345175
"Croatia","Defence",2020,1.07139197288686,0.85900541593084,1.28377852984289,0.746574764101843,1.39620918167188,2019,1.1,0.0286080271131375,0.0286080271131375
"Croatia","Defence",2021,1.0936150749209,0.781394620534115,1.40583552930769,0.616115095764945,1.57111505407686,2019,1,-0.0936150749209006,0.0936150749209006
"Croatia","Defence",2022,1.07881077324103,0.721821710628371,1.43579983585368,0.532843116217265,1.62477843026479,2019,1,-0.078810773241027,0.078810773241027
"Croatia","Defence",2023,1.08867291345408,0.674368709189176,1.50297711771899,0.455049311537081,1.72229651537108,2019,1.3,0.211327086545918,0.211327086545918
"Cyprus","Defence",2020,1.76861650590718,1.54625803744346,1.9909749743709,1.42854857453122,2.10868443728314,2019,1.8,0.0313834940928197,0.0313834940928197
"Cyprus","Defence",2021,1.80988626229754,1.56300997482614,2.05676254976894,1.43232156253045,2.18745096206463,2019,1.7,-0.109886262297539,0.109886262297539
"Cyprus","Defence",2022,1.80932891500612,1.56252199193695,2.0561358380753,1.43187029893774,2.1867875310745,2019,1.5,-0.309328915006121,0.309328915006121
"Cyprus","Defence",2023,1.80933644197091,1.56252843360445,2.05614445033737,1.43187616608357,2.18679671785826,2019,1.9,0.0906635580290884,0.0906635580290884
"Czechia","Defence",2020,0.930257268467941,0.74376958857544,1.11674494836044,0.645048974102968,1.21546556283291,2019,1,0.0697427315320592,0.0697427315320592
"Czechia","Defence",2021,1.06961537744985,0.857716410805663,1.28151434409403,0.745543873696219,1.39368688120348,2019,0.9,-0.169615377449848,0.169615377449848
"Czechia","Defence",2022,1.08325580518195,0.745070143522425,1.42144146684148,0.56604546830499,1.60046614205891,2019,1,-0.0832558051819523,0.0832558051819523
"Czechia","Defence",2023,1.08459093573212,0.645854301511996,1.52332756995224,0.413601156710359,1.75558071475387,2019,1.2,0.115409064267884,0.115409064267884
"Denmark","Defence",2020,1.12445372431591,1.00949746791926,1.23940998071255,0.948643301705855,1.30026414692596,2019,1.2,0.0755462756840939,0.0755462756840939
"Denmark","Defence",2021,1.13764846661159,0.984724624571769,1.29057230865141,0.903771632597368,1.37152530062581,2019,1.2,0.0623515333884115,0.0623515333884115
"Denmark","Defence",2022,1.1290043130741,0.963818066925301,1.29419055922291,0.876373750326956,1.38163487582125,2019,1.2,0.0709956869258956,0.0709956869258956
"Denmark","Defence",2023,1.13466728008817,0.947677938395312,1.32165662178104,0.848691760207224,1.42064279996912,2019,1.8,0.665332719911826,0.665332719911826
"EU-27","Defence",2020,1.2,1.13149818740355,1.26850181259645,1.09523551827764,1.30476448172236,2019,1.3,0.1,0.1
"EU-27","Defence",2021,1.2,1.10312380819251,1.29687619180749,1.0518406500316,1.3481593499684,2019,1.2,0,0
"EU-27","Defence",2022,1.2,1.08135138065803,1.31864861934197,1.01854259557099,1.38145740442901,2019,1.3,0.1,0.1
"EU-27","Defence",2023,1.2,1.06299637521442,1.33700362478558,0.990471037178227,1.40952896282177,2019,1.3,0.1,0.1
"Estonia","Defence",2020,1.95519039191147,1.69766112555699,2.21271965826595,1.56133336688781,2.34904741693513,2019,2.4,0.44480960808853,0.44480960808853
"Estonia","Defence",2021,2.0436444792649,1.69419879203796,2.39309016649185,1.50921341934371,2.57807553918609,2019,2,-0.0436444792649024,0.0436444792649024
"Estonia","Defence",2022,2.00931344549655,1.64245340623804,2.37617348475506,1.44824943243198,2.57037745856111,2019,2.2,0.190686554503452,0.190686554503452
"Estonia","Defence",2023,2.02263809690462,1.62239860049383,2.42287759331542,1.4105246094366,2.63475158437264,2019,2.7,0.677361903095377,0.677361903095377
"Finland","Defence",2020,1.251778113465,1.14836824992654,1.35518797700346,1.09362637487659,1.40992985205341,2019,1.4,0.148221886534999,0.148221886534999
"Finland","Defence",2021,1.27566970774105,1.12075508063276,1.43058433484934,1.03874823070187,1.51259118478023,2019,1.2,-0.0756697077410495,0.0756697077410495
"Finland","Defence",2022,1.28465204708708,1.11172336931303,1.45758072486113,1.02018045698977,1.54912363718438,2019,1.2,-0.0846520470870773,0.0846520470870773
"Finland","Defence",2023,1.28802906827683,1.10419493128349,1.47186320527017,1.00687901757025,1.56917911898341,2019,1.4,0.11197093172317,0.11197093172317
"France","Defence",2020,1.75728119761799,1.63046298578602,1.88409940944997,1.56332947967146,1.95123291556453,2019,1.9,0.142718802382006,0.142718802382006
"France","Defence",2021,1.78581037259111,1.644223068028,1.92739767715422,1.56927127648859,2.00234946869363,2019,1.7,-0.0858103725911095,0.0858103725911095
"France","Defence",2022,1.78196031411453,1.63619143890835,1.92772918932071,1.55902605758337,2.00489457064569,2019,1.8,0.0180396858854721,0.0180396858854721
"France","Defence",2023,1.78247988575609,1.63171684400925,1.93324292750293,1.55190771061466,2.01305206089751,2019,1.8,0.0175201142439134,0.0175201142439134
"Germany","Defence",2020,0.999749438780938,0.922016366025691,1.07748251153619,0.880866962957054,1.11863191460482,2019,1.1,0.100250561219062,0.100250561219062
"Germany","Defence",2021,0.972962842913549,0.883259894552182,1.06266579127492,0.835774022094916,1.11015166373218,2019,1,0.0270371570864506,0.0270371570864506
"Germany","Defence",2022,0.990097068455809,0.898000283934963,1.08219385297666,0.849247191161876,1.13094694574974,2019,1,0.00990293154419097,0.00990293154419097
"Germany","Defence",2023,0.979137046272085,0.880197766629578,1.07807632591459,0.827822475739572,1.1304516168046,2019,1.1,0.120862953727915,0.120862953727915
"Greece","Defence",2020,2.25478109905386,1.75272040849543,2.75684178961229,1.48694553316334,3.02261666494438,2019,2.5,0.24521890094614,0.24521890094614
"Greece","Defence",2021,2.30015060416441,1.75591497039168,2.84438623793715,1.46781402873789,3.13248717959094,2019,2.7,0.399849395835588,0.399849395835588
"Greece","Defence",2022,2.29032194557171,1.72794717140595,2.85269671973748,1.43024394885814,3.15039994228529,2019,2.6,0.309678054428286,0.309678054428286
"Greece","Defence",2023,2.292451184793,1.70870829224013,2.87619407734588,1.39969347110032,3.18520889848568,2019,2.2,-0.0924511847930019,0.0924511847930019
"Hungary","Defence",2020,1.00959544458054,0.798086653721074,1.22110423544,0.686120663195523,1.33307022596555,2019,1.1,0.0904045554194626,0.0904045554194626
"Hungary","Defence",2021,0.977294404555395,0.695278747556899,1.25931006155389,0.545988676675016,1.40860013243577,2019,1.1,0.122705595444606,0.122705595444606
"Hungary","Defence",2022,0.974976802972171,0.66035815906498,1.28959544687936,0.493809109449919,1.45614449649442,2019,1.4,0.425023197027829,0.425023197027829
"Hungary","Defence",2023,0.974810514917843,0.632018559631068,1.31760247020462,0.450555459861487,1.4990655699742,2019,1.9,0.925189485082157,0.925189485082157
"Iceland","Defence",2020,0.0327827164435714,-0.0218234514027406,0.0873888842898833,-0.0507302105349379,0.116295643422081,2019,0.1,0.0672172835564286,0.0672172835564286
"Iceland","Defence",2021,0.089401699923842,0.0250111052711599,0.153792294576524,-0.00907521653854287,0.187878616386227,2019,0.1,0.010598300076158,0.010598300076158
"Iceland","Defence",2022,0.0438450628429515,-0.0402302818585769,0.12792040754448,-0.0847370808905784,0.172427206576481,2019,0.1,0.0561549371570485,0.0561549371570485
"Iceland","Defence",2023,0.0805007400478091,-0.0117706228960295,0.172772102991648,-0.0606161319038044,0.221617611999423,2019,0.1,0.0194992599521909,0.0194992599521909
"Ireland","Defence",2020,0.19997007803653,0.145776215243723,0.254163940829337,0.117087717222692,0.282852438850368,2019,0.2,2.99219634700143e-05,2.99219634700143e-05
"Ireland","Defence",2021,0.176516321932497,0.0998671341413158,0.253165509723678,0.0592915051135798,0.293741138751414,2019,0.2,0.0234836780675029,0.0234836780675029
"Ireland","Defence",2022,0.176533562383108,0.0751815894899643,0.277885535276251,0.0215290959430661,0.331538028823149,2019,0.2,0.0234664376168923,0.0234664376168923
"Ireland","Defence",2023,0.17653354970995,0.0554213427048497,0.297645756715051,-0.00869158691362604,0.361758686333527,2019,0.2,0.0234664502900495,0.0234664502900495
"Italy","Defence",2020,1.30434463738756,1.19842709184692,1.41026218292821,1.14235773013244,1.46633154464269,2019,1.4,0.0956553626124357,0.0956553626124357
"Italy","Defence",2021,1.29053292746289,1.15216852159438,1.42889733333141,1.07892282956619,1.5021430253596,2019,1.4,0.109467072537108,0.109467072537108
"Italy","Defence",2022,1.28418088544229,1.13215830700634,1.43620346387823,1.05168241516439,1.51667935572018,2019,1.2,-0.0841808854422854,0.0841808854422854
"Italy","Defence",2023,1.2812595644725,1.12091192162501,1.44160720731999,1.03602900689176,1.52649012205324,2019,1.2,-0.0812595644724987,0.0812595644724987
"Latvia","Defence",2020,2.18996769901918,1.99195730759259,2.38797809044576,1.88713693809239,2.49279845994597,2019,2.5,0.310032300980822,0.310032300980822
"Latvia","Defence",2021,2.11769187803776,1.8180918969919,2.41729185908362,1.65949324724819,2.57589050882733,2019,2.5,0.382308121962239,0.382308121962239
"Latvia","Defence",2022,2.14204551241223,1.64438532427756,2.63970570054691,1.380939934215,2.90315109060947,2019,2.4,0.257954487587767,0.257954487587767
"Latvia","Defence",2023,2.13383945540462,1.53155143323503,2.73612747757421,1.21271941348838,3.05495949732086,2019,3.1,0.966160544595379,0.966160544595379
"Lithuania","Defence",2020,1.63058655094594,1.39492742739279,1.86624567449908,1.27017702298742,1.99099607890446,2019,2.3,0.669413449054064,0.669413449054064
"Lithuania","Defence",2021,1.57731093518766,1.23198147578788,1.92264039458744,1.04917510248191,2.10544676789341,2019,1.8,0.222689064812342,0.222689064812342
"Lithuania","Defence",2022,1.59823734008275,1.10441614151556,2.09205853864994,0.84300298977177,2.35347169039373,2019,2.1,0.501762659917248,0.501762659917248
"Lithuania","Defence",2023,1.5900175491784,1.00509312999984,2.17494196835697,0.695452846445733,2.48458225191108,2019,2.5,0.909982450821596,0.909982450821596
"Luxembourg","Defence",2020,0.351793132851596,0.224613408298804,0.478972857404388,0.157288528909834,0.546297736793357,2019,0.7,0.348206867148404,0.348206867148404
"Luxembourg","Defence",2021,0.332530780344474,0.190416917920279,0.474644642768669,0.115186383486797,0.54987517720215,2019,0.4,0.0674692196555264,0.0674692196555264
"Luxembourg","Defence",2022,0.32849145737902,0.185187489750374,0.471795425007666,0.109326951677307,0.547655963080734,2019,0.5,0.17150854262098,0.17150854262098
"Luxembourg","Defence",2023,0.327644409750066,0.184168474969551,0.471120344530581,0.108216902985228,0.547071916514904,2019,0.5,0.172355590249934,0.172355590249934
"Malta","Defence",2020,0.651465035641914,0.52217363859106,0.780756432692768,0.453730907305958,0.84919916397787,2019,0.5,-0.151465035641914,0.151465035641914
"Malta","Defence",2021,0.667201778107311,0.525112001615021,0.8092915545996,0.449894217503702,0.88450933871092,2019,0.5,-0.167201778107311,0.167201778107311
"Malta","Defence",2022,0.667890017971989,0.523435523836244,0.812344512107733,0.446965933820372,0.888814102123605,2019,0.5,-0.167890017971989,0.167890017971989
"Malta","Defence",2023,0.667920117855263,0.521387658291038,0.814452577419489,0.443818059823827,0.892022175886699,2019,0.4,-0.267920117855263,0.267920117855263
